Trial ID,Participant ID,Edge type,Pointing Sequence
1,1,Virtual Edge,S7
2,1,Virtual Edge,S9
3,1,Virtual Edge,S10
4,1,Virtual Edge,S2
5,1,Virtual Edge,S4
6,1,Virtual Edge,S5
7,1,Virtual Edge,S6
8,1,Virtual Edge,S1
9,1,Virtual Edge,S8
10,1,Virtual Edge,S3
11,1,Regular Edge,S7
12,1,Regular Edge,S9
13,1,Regular Edge,S10
14,1,Regular Edge,S2
15,1,Regular Edge,S4
16,1,Regular Edge,S5
17,1,Regular Edge,S6
18,1,Regular Edge,S1
19,1,Regular Edge,S8
20,1,Regular Edge,S3
21,2,Regular Edge,S8
22,2,Regular Edge,S10
23,2,Regular Edge,S1
24,2,Regular Edge,S3
25,2,Regular Edge,S5
26,2,Regular Edge,S6
27,2,Regular Edge,S7
28,2,Regular Edge,S2
29,2,Regular Edge,S9
30,2,Regular Edge,S4
31,2,Virtual Edge,S8
32,2,Virtual Edge,S10
33,2,Virtual Edge,S1
34,2,Virtual Edge,S3
35,2,Virtual Edge,S5
36,2,Virtual Edge,S6
37,2,Virtual Edge,S7
38,2,Virtual Edge,S2
39,2,Virtual Edge,S9
40,2,Virtual Edge,S4
41,3,Virtual Edge,S9
42,3,Virtual Edge,S1
43,3,Virtual Edge,S2
44,3,Virtual Edge,S4
45,3,Virtual Edge,S6
46,3,Virtual Edge,S7
47,3,Virtual Edge,S8
48,3,Virtual Edge,S3
49,3,Virtual Edge,S10
50,3,Virtual Edge,S5
51,3,Regular Edge,S9
52,3,Regular Edge,S1
53,3,Regular Edge,S2
54,3,Regular Edge,S4
55,3,Regular Edge,S6
56,3,Regular Edge,S7
57,3,Regular Edge,S8
58,3,Regular Edge,S3
59,3,Regular Edge,S10
60,3,Regular Edge,S5
61,4,Regular Edge,S10
62,4,Regular Edge,S2
63,4,Regular Edge,S3
64,4,Regular Edge,S5
65,4,Regular Edge,S7
66,4,Regular Edge,S8
67,4,Regular Edge,S9
68,4,Regular Edge,S4
69,4,Regular Edge,S1
70,4,Regular Edge,S6
71,4,Virtual Edge,S10
72,4,Virtual Edge,S2
73,4,Virtual Edge,S3
74,4,Virtual Edge,S5
75,4,Virtual Edge,S7
76,4,Virtual Edge,S8
77,4,Virtual Edge,S9
78,4,Virtual Edge,S4
79,4,Virtual Edge,S1
80,4,Virtual Edge,S6
81,5,Virtual Edge,S1
82,5,Virtual Edge,S3
83,5,Virtual Edge,S4
84,5,Virtual Edge,S6
85,5,Virtual Edge,S8
86,5,Virtual Edge,S9
87,5,Virtual Edge,S10
88,5,Virtual Edge,S5
89,5,Virtual Edge,S2
90,5,Virtual Edge,S7
91,5,Regular Edge,S1
92,5,Regular Edge,S3
93,5,Regular Edge,S4
94,5,Regular Edge,S6
95,5,Regular Edge,S8
96,5,Regular Edge,S9
97,5,Regular Edge,S10
98,5,Regular Edge,S5
99,5,Regular Edge,S2
100,5,Regular Edge,S7
101,6,Regular Edge,S2
102,6,Regular Edge,S4
103,6,Regular Edge,S5
104,6,Regular Edge,S7
105,6,Regular Edge,S9
106,6,Regular Edge,S10
107,6,Regular Edge,S1
108,6,Regular Edge,S6
109,6,Regular Edge,S3
110,6,Regular Edge,S8
111,6,Virtual Edge,S2
112,6,Virtual Edge,S4
113,6,Virtual Edge,S5
114,6,Virtual Edge,S7
115,6,Virtual Edge,S9
116,6,Virtual Edge,S10
117,6,Virtual Edge,S1
118,6,Virtual Edge,S6
119,6,Virtual Edge,S3
120,6,Virtual Edge,S8
121,7,Virtual Edge,S3
122,7,Virtual Edge,S5
123,7,Virtual Edge,S6
124,7,Virtual Edge,S8
125,7,Virtual Edge,S10
126,7,Virtual Edge,S1
127,7,Virtual Edge,S2
128,7,Virtual Edge,S7
129,7,Virtual Edge,S4
130,7,Virtual Edge,S9
131,7,Regular Edge,S3
132,7,Regular Edge,S5
133,7,Regular Edge,S6
134,7,Regular Edge,S8
135,7,Regular Edge,S10
136,7,Regular Edge,S1
137,7,Regular Edge,S2
138,7,Regular Edge,S7
139,7,Regular Edge,S4
140,7,Regular Edge,S9
141,8,Regular Edge,S4
142,8,Regular Edge,S6
143,8,Regular Edge,S7
144,8,Regular Edge,S9
145,8,Regular Edge,S1
146,8,Regular Edge,S2
147,8,Regular Edge,S3
148,8,Regular Edge,S8
149,8,Regular Edge,S5
150,8,Regular Edge,S10
151,8,Virtual Edge,S4
152,8,Virtual Edge,S6
153,8,Virtual Edge,S7
154,8,Virtual Edge,S9
155,8,Virtual Edge,S1
156,8,Virtual Edge,S2
157,8,Virtual Edge,S3
158,8,Virtual Edge,S8
159,8,Virtual Edge,S5
160,8,Virtual Edge,S10
161,9,Virtual Edge,S5
162,9,Virtual Edge,S7
163,9,Virtual Edge,S8
164,9,Virtual Edge,S10
165,9,Virtual Edge,S2
166,9,Virtual Edge,S3
167,9,Virtual Edge,S4
168,9,Virtual Edge,S9
169,9,Virtual Edge,S6
170,9,Virtual Edge,S1
171,9,Regular Edge,S5
172,9,Regular Edge,S7
173,9,Regular Edge,S8
174,9,Regular Edge,S10
175,9,Regular Edge,S2
176,9,Regular Edge,S3
177,9,Regular Edge,S4
178,9,Regular Edge,S9
179,9,Regular Edge,S6
180,9,Regular Edge,S1
181,10,Regular Edge,S6
182,10,Regular Edge,S8
183,10,Regular Edge,S9
184,10,Regular Edge,S1
185,10,Regular Edge,S3
186,10,Regular Edge,S4
187,10,Regular Edge,S5
188,10,Regular Edge,S10
189,10,Regular Edge,S7
190,10,Regular Edge,S2
191,10,Virtual Edge,S6
192,10,Virtual Edge,S8
193,10,Virtual Edge,S9
194,10,Virtual Edge,S1
195,10,Virtual Edge,S3
196,10,Virtual Edge,S4
197,10,Virtual Edge,S5
198,10,Virtual Edge,S10
199,10,Virtual Edge,S7
200,10,Virtual Edge,S2
